squad,squad_size,foreigners,squad_value_avg,squad_value,season_start_year,season_end_year
Lille,31,22,7990000.0,247780000.0,2019,2020
Marseille,34,12,6360000.0,216150000.0,2019,2020
Nice,37,20,4690000.0,173450000.0,2019,2020
Rennes,33,16,5210000.0,171880000.0,2019,2020
Bordeaux,31,19,4040000.0,125350000.0,2019,2020
Nantes,35,21,3030000.0,106150000.0,2019,2020
St Etienne,41,16,2560000.0,104830000.0,2019,2020
Strasbourg,31,16,2940000.0,91130000.0,2019,2020
Angers,31,14,2890000.0,89480000.0,2019,2020
Montpellier,30,15,2720000.0,81680000.0,2019,2020
Reims,31,21,2630000.0,81680000.0,2019,2020
Toulouse,35,15,2050000.0,71880000.0,2019,2020
Amiens,37,20,1670000.0,61930000.0,2019,2020
Metz,32,21,1690000.0,54100000.0,2019,2020
Dijon,31,19,1620000.0,50230000.0,2019,2020
Nimes,35,12,1420000.0,49650000.0,2019,2020
Brest,28,9,1710000.0,47780000.0,2019,2020
PSG,41,29,19630000.0,805000000.0,2020,2021
Lyon,40,29,10780000.0,431350000.0,2020,2021
Monaco,33,19,11220000.0,370350000.0,2020,2021
Lille,32,23,10100000.0,323200000.0,2020,2021
Rennes,37,12,8039999.999999999,297500000.0,2020,2021
Marseille,37,19,6700000.0,247950000.0,2020,2021
Nice,41,19,5760000.0,236100000.0,2020,2021
St Etienne,43,18,3590000.0,154500000.0,2020,2021
Montpellier,34,14,3350000.0,113850000.0,2020,2021
Angers,38,18,2940000.0,111650000.0,2020,2021
Strasbourg,34,20,3230000.0,109650000.0,2020,2021
Bordeaux,36,19,2940000.0,105700000.0,2020,2021
Reims,34,25,3090000.0,105180000.0,2020,2021
Lens,36,18,2900000.0,104300000.0,2020,2021
Metz,35,25,2960000.0,103500000.0,2020,2021
Brest,32,10,3230000.0,103230000.0,2020,2021
Nantes,32,17,2960000.0,94750000.0,2020,2021
Lorient,34,15,2140000.0,72880000.0,2020,2021
Dijon,37,24,1770000.0,65629999.99999999,2020,2021
Nimes,36,19,1680000.0,60400000.0,2020,2021
PSG,41,28,21350000.0,875150000.0,2021,2022
Lyon,40,21,9940000.0,397700000.0,2021,2022
Monaco,41,23,9660000.0,396000000.0,2021,2022
Lille,41,29,7480000.0,306880000.0,2021,2022
Rennes,36,11,8480000.0,305350000.0,2021,2022
Marseille,38,22,7490000.0,284700000.0,2021,2022
Nice,34,23,7830000.0,266050000.0,2021,2022
Lens,35,20,4400000.0,154050000.0,2021,2022
Reims,40,28,3740000.0,149400000.0,2021,2022
Montpellier,36,17,4020000.0,144600000.0,2021,2022
Strasbourg,33,18,3640000.0,120050000.0,2021,2022
Bordeaux,54,32,2160000.0,116850000.0,2021,2022
Nantes,31,16,3630000.0,112650000.0,2021,2022
St Etienne,44,21,2400000.0,105650000.0,2021,2022
Brest,30,10,3440000.0,103150000.0,2021,2022
Metz,41,28,2220000.0,91050000.0,2021,2022
Angers,38,19,2360000.0,89500000.0,2021,2022
Troyes,50,26,1460000.0,73200000.0,2021,2022
Lorient,35,15,1750000.0,61300000.0,2021,2022
Clermont,39,23,1410000.0,55100000.0,2021,2022
PSG,37,24,24090000.0,891250000.0,2022,2023
Rennes,38,18,10200000.0,387750000.0,2022,2023
Monaco,32,18,11510000.0,368300000.0,2022,2023
Lyon,34,16,10320000.0,350950000.0,2022,2023
Marseille,37,29,8960000.0,331550000.0,2022,2023
Nice,41,26,7580000.0,310800000.0,2022,2023
Lille,33,19,7510000.0,247950000.0,2022,2023
Lens,39,23,6110000.0,238200000.0,2022,2023
Lorient,42,17,4180000.0,175450000.0,2022,2023
Reims,40,26,3980000.0,159050000.0,2022,2023
Montpellier,39,17,3660000.0,142900000.0,2022,2023
Strasbourg,36,16,3430000.0,123550000.0,2022,2023
Nantes,37,18,3220000.0,119280000.0,2022,2023
Toulouse,37,29,2830000.0,104800000.0,2022,2023
Brest,32,15,2400000.0,76650000.0,2022,2023
Troyes,41,21,1860000.0,76300000.0,2022,2023
Angers,44,21,1630000.0,71800000.0,2022,2023
Auxerre,42,22,1300000.0,54800000.0,2022,2023
Clermont,33,21,1450000.0,48000000.0,2022,2023
AC Ajaccio,41,25,659000.0,27000000.0,2022,2023
PSG,29,17,35150000.0,1020000000.0,2023,2024
Monaco,24,17,14470000.0,347200000.0,2023,2024
Rennes,24,11,11440000.0,274650000.0,2023,2024
Nice,28,12,9350000.0,261800000.0,2023,2024
Lille,25,18,9980000.0,249500000.0,2023,2024
Lyon,28,19,8530000.0,238800000.0,2023,2024
Marseille,27,21,8570000.0,231350000.0,2023,2024
Lens,27,14,7440000.0,200850000.0,2023,2024
Strasbourg,25,14,4950000.0,123850000.0,2023,2024
Reims,24,17,4920000.0,118100000.0,2023,2024
Lorient,28,16,3790000.0,106250000.0,2023,2024
Toulouse,27,21,3720000.0,100400000.0,2023,2024
Brest,24,7,4170000.0,100000000.0,2023,2024
Montpellier,25,12,3940000.0,98600000.0,2023,2024
Nantes,25,13,3790000.0,94650000.0,2023,2024
Le Havre,24,14,2560000.0,61500000.0,2023,2024
Clermont,25,13,2080000.0,52000000.0,2023,2024
Metz,28,21,1630000.0,45700000.0,2023,2024
